start	end	text
0	2000	Let's see if we can do that.
6000	8000	Okay, discussion.
20000	22000	I'm going to start with CW.
22000	24000	I'm going to start with the training method.
24000	26000	Mm-hmm.
26000	28000	Yeah?
28000	30000	Oh.
30000	32000	So, the easier one.
34000	36000	Take my speed to my speed stats.
36000	38000	Yeah, go ahead.
38000	40000	I've looked at that very closely.
40000	42000	Yeah?
42000	44000	I have very detailed notes.
44000	46000	Okay.
46000	48000	Alex is there.
48000	50000	Is that it?
50000	52000	Well, you can say the second, okay?
54000	56000	Alex?
56000	58000	I hear you.
58000	60000	Okay, of course.
60000	62000	So, according to Alex, just so you know, yeah?
62000	64000	Yeah, yeah, sure.
64000	66000	I will just mainly listen
66000	68000	and I don't know how much time
68000	70000	I really got.
70000	72000	My daughter wakes up, I have to take care of her.
72000	74000	We understand.
74000	76000	It's all cool.
76000	78000	Yeah, because I'll use this transcription then,
78000	80000	like you'll get it to be auto transcribed.
80000	82000	And then you can...
82000	84000	Yeah, sure.
84000	86000	You can turn on the light
86000	88000	so that Claude can better see.
90000	92000	I should have just let Claude join this meeting there.
92000	94000	Yeah.
94000	96000	Well, the telecom said
96000	98000	that they will put
98000	100000	the chatbot
100000	102000	or AI into their
102000	104000	into their landline.
104000	106000	No, mobile line.
106000	108000	And then...
108000	110000	But you can request it in the beginning
110000	112000	of the call
112000	114000	or at the end you can ask for summary
114000	116000	and stuff like that
116000	118000	or ask questions during the call.
118000	120000	What?
120000	122000	Lightly...
122000	124000	concerning.
124000	126000	Okay, well, good.
126000	128000	I think it's already clear that this is not possible.
128000	130000	Impossible.
130000	132000	You'd have to opt in
132000	134000	actually with an in signature, I think.
134000	136000	I think that's the only way.
136000	138000	Both parties, absolutely.
138000	140000	Yeah, good.
140000	142000	Yeah, I think...
142000	144000	I thought that the best way maybe is
144000	146000	that I show you
146000	148000	just a short sketch of the proof
148000	150000	I have for positive semi-definite
150000	152000	matrices because it's...
152000	154000	I would say it's pretty much straight forward.
154000	156000	And
156000	158000	you have to say, I mean, we can start
158000	160000	with the problem of just feasibility
160000	162000	because optimality
162000	164000	just comes with another
164000	166000	with an additional constraint
166000	168000	like I said.
168000	170000	It's most
170000	172000	more or less the same thing.
172000	174000	The simplest thing first.
174000	176000	Okay, so let's say
176000	178000	I don't want to...
178000	180000	Okay.
180000	182000	Let's say we have some
184000	186000	set C
186000	188000	and
188000	190000	that is X
190000	192000	I will write this populist
192000	194000	you just...
194000	196000	make it too complex
198000	200000	and
200000	202000	we will also get it from
202000	204000	reals to complex numbers.
204000	206000	Just one check.
206000	208000	We have to change one number.
208000	210000	These are real positive
210000	212000	symmetric.
212000	214000	Let's start by real positive symmetric
214000	216000	matrices.
216000	218000	Well, yeah.
218000	220000	And what we're looking for
220000	222000	is that they
222000	224000	obey
224000	226000	some
226000	228000	some
228000	230000	positive relations
230000	232000	for all I
234000	236000	and...
236000	238000	Yeah.
238000	240000	Yeah, so you can write it as trace
240000	242000	it's just because I was too lazy
242000	244000	at some point to always write trace.
244000	246000	And
246000	248000	so we can write X of A
250000	252000	which...
252000	254000	When we go to...
254000	256000	Okay, maybe you're right.
256000	258000	Yeah.
258000	260000	Just stick with this for now.
260000	262000	Just stick with this because in the end
262000	264000	it becomes kind of important.
264000	266000	So, and the proof is
266000	268000	as I said is pretty much straightforward.
268000	270000	We assume
274000	276000	that there is...
276000	278000	We assume
280000	282000	this
282000	284000	X
284000	286000	element C
286000	288000	such that
290000	292000	the
292000	294000	rank
294000	296000	of X
296000	298000	equals R.
298000	300000	So
300000	302000	what it follows from this is that
302000	304000	you can write X
304000	306000	as B
308000	310000	that one
310000	312000	VB
312000	314000	VT
314000	316000	and
316000	318000	B
318000	320000	is
320000	322000	positive definite.
322000	324000	So it's a material.
324000	326000	Clear?
326000	328000	And by the way
328000	330000	you can also determine these
330000	332000	up front if you know.
332000	334000	Do you want the Vs to be R by N matrices now?
334000	336000	Yeah.
336000	338000	Yeah.
338000	340000	So,
340000	342000	some
342000	344000	are N matrix
346000	348000	and they are
348000	350000	like...
350000	352000	You can see this
352000	354000	pretty fast.
354000	356000	They are orthogonal to the kernel
356000	358000	of X of R.
358000	360000	The columns of it are
360000	362000	some vectors that
362000	364000	span all following the company.
364000	366000	And so when you're here
366000	368000	you can
370000	372000	you can define
372000	374000	how we will
374000	376000	define
378000	380000	the problem in a hat
380000	382000	is equal to
382000	384000	VT
384000	386000	VI
386000	388000	V
388000	390000	and therefore
392000	394000	any feasible X
394000	396000	can be written
396000	398000	as
404000	406000	AI
408000	410000	equals
410000	412000	VI. So we know
412000	414000	that this is true
416000	418000	and since this
418000	420000	is feasible we will
420000	422000	define another function
422000	424000	and
424000	426000	I will just
426000	428000	call this function
428000	430000	PI and
430000	432000	it goes
432000	434000	from the symmetric
436000	438000	R by R matrices
440000	442000	to
444000	446000	to
448000	450000	the
452000	454000	space RR. This
454000	456000	composition is being recorded on Zoom
456000	458000	just so you know.
460000	462000	And each
462000	464000	like
464000	466000	this five takes in
466000	468000	a second
468000	470000	this five takes in
470000	472000	some
474000	476000	V
476000	478000	and the I component of it
478000	480000	is simply
482000	484000	AI
484000	486000	V
486000	488000	and now it's pretty much straightforward.
490000	492000	You know from
492000	494000	from the rank
494000	496000	nullity
496000	498000	theorem
502000	504000	you know that
506000	508000	the
508000	510000	value
510000	512000	that
512000	514000	difference
516000	518000	in R
518000	520000	must be equal
520000	522000	to
522000	524000	the
524000	526000	random
526000	528000	five
528000	530000	of
530000	532000	the
532000	534000	image fine
534000	536000	and
536000	538000	and
538000	540000	you know that
540000	542000	this is equal to
542000	544000	the real dimension of it
544000	546000	R times
546000	548000	R plus one over two
550000	552000	and you know that
552000	554000	the image of
554000	556000	five
556000	558000	I have to check something this is
558000	560000	sorry this is not R this is N
560000	562000	and
562000	564000	so well now it depends
564000	566000	on how these
566000	568000	type of things that
568000	570000	are defined by the AI
570000	572000	within the
572000	574000	ambience space but you can say that this
574000	576000	is at most M.
576000	578000	So what you see from here is
578000	580000	that
580000	582000	the dimension
582000	584000	of
584000	586000	serial I
586000	588000	and
588000	590000	and
590000	592000	must be
592000	594000	here
616000	618000	and
618000	620000	so
620000	622000	this means
622000	624000	if this is
624000	626000	a number that is larger
626000	628000	or equal larger equal than one
628000	630000	and you will always
630000	632000	find some dB
632000	634000	so
634000	636000	if R
636000	638000	is R plus one over two
638000	640000	minus M is larger equal
640000	642000	one
642000	644000	there it lists
644000	646000	and
646000	648000	that is not zero
648000	650000	such that
654000	656000	the operator
656000	658000	B over T equals
658000	660000	B
660000	662000	plus two
662000	664000	B
664000	666000	and
670000	672000	that is five
672000	674000	almost right
680000	682000	so what this means
682000	684000	is
684000	686000	you will find
686000	688000	a sufficiently small T
694000	696000	such that
696000	698000	BT becomes
698000	700000	similar
708000	710000	and so you can reduce the rank
710000	712000	by one
712000	714000	and you can do this
714000	716000	as long as
716000	718000	rank
718000	720000	R by one
720000	722000	and you can do this
722000	724000	as long as the kernel
724000	726000	is larger equal to one
726000	728000	and so that is why
730000	732000	that is why we have this
734000	736000	this
736000	738000	which says that
740000	742000	R
742000	744000	R plus one over two
744000	746000	must be smaller
746000	748000	than
748000	750000	M or in the complex case
750000	752000	you can just
752000	754000	replace everything
754000	756000	that R
756000	758000	is smaller than that
762000	764000	strictly greater than
764000	766000	rank double these here
766000	768000	so if I just move the image
768000	770000	to the left hand side
770000	772000	isn't this
772000	774000	you assume R
774000	776000	right
776000	778000	and this is
778000	780000	just M by one
780000	782000	so why is it
782000	784000	strictly greater than
784000	786000	any
788000	790000	or am I
790000	792000	you only can
792000	794000	bound the term by a smaller
794000	796000	equals
798000	800000	in which case
800000	802000	is that
802000	804000	right now
804000	806000	so the plastic example then is the rank one
806000	808000	right
808000	810000	so
810000	812000	M is one
812000	814000	so
814000	816000	we know that the rank is
816000	818000	you told us this cool thing
818000	820000	where you got one constraint
820000	822000	and the rank or even two constraints
822000	824000	so you can see
824000	826000	this is
826000	828000	definitely true
828000	830000	I'm sure about that one
830000	832000	so what you can see from here
832000	834000	this is just a feasibility thing
834000	836000	and so
836000	838000	this means
838000	840000	so R can be
840000	842000	you can just check it
844000	846000	in that case
846000	848000	for the
850000	852000	for the
852000	854000	for the complex
854000	856000	case
856000	858000	everything when M
858000	860000	is
860000	862000	less than four
862000	864000	always find the rank one
864000	866000	so up to three is fine
866000	868000	and for real
868000	870000	you can just check
870000	872000	that this is for
872000	874000	for M
874000	876000	that's good
876000	878000	and now I told you this the logic is
878000	880000	there exists D not equal to zero
880000	882000	such that BT be satisfied
882000	884000	with the constraints
884000	886000	the point is
886000	888000	if I have
888000	890000	maybe not
890000	892000	it's obvious but maybe not
892000	894000	if this is
894000	896000	if this is
896000	898000	larger or equal than one
898000	900000	I can always
900000	902000	from the kernel
902000	904000	then maybe this
904000	906000	D is from the kernel
906000	908000	that makes
908000	910000	that makes
910000	912000	okay
912000	914000	and then I can
914000	916000	then I can just
916000	918000	take any kind of addition
918000	920000	and it still satisfies
920000	922000	the constraints
922000	924000	and from the continuity
924000	926000	of the eigenvalues
926000	928000	we know that
928000	930000	there will be some sufficiently small T
930000	932000	maybe I should write it like this
932000	934000	such that BT becomes similar
934000	936000	but then you are actually
936000	938000	you know
938000	940000	you take the characteristic polynomial
940000	942000	and then it has roots
942000	944000	the sufficiently small doesn't smell right
944000	946000	why is T
946000	948000	to be small
948000	950000	I'd rather expect T to be quite large
950000	952000	ah okay
952000	954000	if you take
954000	956000	the point of it
956000	958000	there you've got a polynomial
958000	960000	in T
960000	962000	and by the fundamental theorem of algebra
962000	964000	we've got
964000	966000	I think that's what you're saying
966000	968000	that's just
968000	970000	I think
970000	972000	the picture that T
972000	974000	already has in mind is your increased T
974000	976000	until you get to
978000	980000	when it gets to existence it's kind of tricky
980000	982000	because then right over the real numbers
982000	984000	they might be having number roots
984000	986000	right
988000	990000	after the real game
990000	992000	so to complex
992000	994000	I'm happy with it
994000	996000	but the fundamental theorem of algebra
996000	998000	in this big field
998000	1000000	which the real numbers are
1000000	1002000	and in fact I think you want
1002000	1004000	because it really could be right
1004000	1006000	the T of A is the polynomial
1006000	1008000	x squared plus 3 is 0
1008000	1010000	which you can't do
1010000	1012000	I cannot
1012000	1014000	I think that there's something more going on
1014000	1016000	isn't there
1016000	1018000	yeah it's not the character of the polynomial
1018000	1020000	but T is not the
1020000	1022000	I don't know
1022000	1024000	yeah I mean I put it in the
1024000	1026000	generalized eigenvalue version
1026000	1028000	of this what do you call that
1028000	1030000	not character of the polynomial
1030000	1032000	generalized character is probably
1032000	1034000	probably right
1034000	1036000	and so
1036000	1038000	yeah
1038000	1040000	there's something else going on
1040000	1042000	like
1042000	1044000	you can I mean
1044000	1046000	isn't the idea that you add T and it's bigger and bigger and bigger
1046000	1048000	and then you're going to go in
1048000	1050000	feasible at some point
1050000	1052000	no this is the whole point
1054000	1056000	it's in the kernel of phi
1056000	1058000	the point is phi is a linear function
1058000	1060000	phi is linear
1060000	1062000	and because of that
1062000	1064000	I can take this ring now
1064000	1066000	and I can see
1066000	1068000	that I can take some D
1068000	1070000	which is in the
1070000	1072000	like it's in the
1072000	1074000	it's in the kernel of this function
1074000	1076000	which means it does not
1076000	1078000	it does not alter
1078000	1080000	the outcome of the
1080000	1082000	of the constraints
1082000	1084000	that's true
1084000	1086000	but what's the
1086000	1088000	story of T then
1088000	1090000	it selects the right T
1090000	1092000	that
1092000	1094000	thing becomes singular
1094000	1096000	singularity means
1096000	1098000	the determinant is zero
1100000	1102000	yeah I mean T most lambs
1102000	1104000	you can always find a T that makes one of
1104000	1106000	the eigenvalues zero
1106000	1108000	whereas previously it was a strictly positive
1108000	1110000	matrix phi
1110000	1112000	I find a T so that you reduce the rank
1112000	1114000	yeah but can T go infinitely negative
1114000	1116000	but why can you find
1116000	1118000	a D that compensates
1118000	1120000	for an eigenvalue
1120000	1122000	it's somehow
1122000	1124000	circling around that maybe
1124000	1126000	I think this is the
1126000	1128000	the constraint
1128000	1130000	that Tobias mentioned
1134000	1136000	we made that argument
1136000	1138000	but it's different
1138000	1140000	with some
1140000	1142000	with some
1142000	1144000	but
1144000	1146000	I'm going to try to
1146000	1148000	do you
1148000	1150000	mean that I can reduce to the
1150000	1152000	top state
1152000	1154000	and then
1154000	1156000	then you turn
1156000	1158000	one of the same
1158000	1160000	one of the same
1160000	1162000	I'm not
1162000	1164000	sure if you know what you're doing
1164000	1166000	but what we're basically doing up there
1168000	1170000	with the center now we are
1170000	1172000	moving from
1172000	1174000	I'm not sure if you know what I'm talking about
1174000	1176000	so this A that is
1180000	1182000	the same old story of
1182000	1184000	by leading up form
1186000	1188000	to its
1188000	1190000	reproducing current
1196000	1198000	can I just push the determinant
1198000	1200000	argument through and see where it breaks
1202000	1204000	we shouldn't need anything to match it right
1204000	1206000	like we're saying
1206000	1208000	so we're saying the B
1208000	1210000	term and then the same
1210000	1212000	I think you want to
1212000	1214000	factor out B because it's invertible
1218000	1220000	you can make it into a characteristic
1220000	1222000	polynomial of
1222000	1224000	square root inverse B
1224000	1226000	D square root inverse B
1226000	1228000	and then also one of our
1228000	1230000	T
1246000	1248000	so then you're arguing that
1248000	1250000	there exists a T
1250000	1252000	which makes this thing
1252000	1254000	okay for complexity
1254000	1256000	it's fine
1256000	1258000	complexity but even for real T
1258000	1260000	because
1262000	1264000	yeah
1264000	1266000	so D is not positive
1266000	1268000	D can be any evolution
1268000	1270000	anything just not zero
1270000	1272000	so you put the T as
1272000	1274000	the D
1274000	1276000	we'll try to make it without
1278000	1280000	the point is
1280000	1282000	is that D can have negative i
1282000	1284000	that's allowed
1284000	1286000	and now as soon as a negative i
1286000	1288000	is positive
1290000	1292000	I can't buy it now
1292000	1294000	okay
1294000	1296000	and this is the whole proof
1296000	1298000	for it
1298000	1300000	how do you
1300000	1302000	argue that
1302000	1304000	so there exists a T
1304000	1306000	such as P0
1306000	1308000	P0 is singular and so because
1308000	1310000	rank was an R
1310000	1312000	but how do you argue that
1316000	1318000	right because that's the argument
1318000	1320000	and we say that there is some B of P0
1320000	1322000	which is singular so it does
1322000	1324000	rank one less and we say that
1324000	1326000	that's our new feasible solution
1326000	1328000	it's a flexible string but you also need the positive
1330000	1332000	D is in the column of 5
1332000	1334000	so it's a symmetric matrix
1336000	1338000	symmetric so you can
1338000	1340000	always choose it to be
1340000	1342000	whatever you want basically
1344000	1346000	if it's in the column of 5
1346000	1348000	it's either positive, it's fully positive
1348000	1350000	in which case you put a minus sign in front of it
1350000	1352000	or it's
1352000	1354000	it will neither be positive nor
1354000	1356000	neither positive nor negative in which case
1356000	1358000	you just find the smallest eigenvalue of it
1358000	1360000	and then put a minus sign in front of that
1360000	1362000	and then you can always
1362000	1364000	zero off at least
1364000	1366000	I think the argument is right
1366000	1368000	which has
1368000	1370000	a largest
1370000	1372000	negative eigenvalue
1374000	1376000	everything is negative
1376000	1378000	and it's strictly negative
1378000	1380000	not
1380000	1382000	how do you know
1382000	1384000	oh I think it's not the number of minus signs
1384000	1386000	what if it's neither
1386000	1388000	no that's the idea
1388000	1390000	how about I just write it out
1390000	1392000	here
1392000	1394000	it has some smallest eigenvalue
1394000	1396000	some
1396000	1398000	some eigenvalue
1398000	1400000	more than two
1400000	1402000	whatever right, symmetric
1402000	1404000	and then these D's
1404000	1406000	we'll just put them in D semi-water
1406000	1408000	right
1408000	1410000	so what if they're all positive
1410000	1412000	then we put a minus sign
1412000	1414000	in front of it
1414000	1416000	there exists a D in the column
1416000	1418000	so I'm allowed to multiply by minus one
1418000	1420000	now the largest
1420000	1422000	the largest negative eigenvalue
1422000	1424000	which is T just right
1424000	1426000	I'll zero off one of the
1426000	1428000	the corresponding eigenvector
1428000	1430000	of that identity
1434000	1436000	and the other state positive
1436000	1438000	the objective here isn't
1438000	1440000	is just to zero off at least one eigenvector
1440000	1442000	of that program matrix
1442000	1444000	I think we know but also the
1444000	1446000	resulting B of T has to be positive
1446000	1448000	and it would be
1448000	1450000	why
1450000	1452000	because you just
1452000	1454000	it's not sufficiently small
1454000	1456000	it's supposed to
1456000	1458000	sufficiently small because
1458000	1460000	yeah, thanks
1462000	1464000	you just take the
1464000	1466000	the eigenvalue of T with
1466000	1468000	with the smallest absolute
1468000	1470000	value
1470000	1472000	and the smallest absolute value
1472000	1474000	well then just if it's
1474000	1476000	minus or plus you decide
1476000	1478000	why I have a T because the T can be anything
1478000	1480000	from R
1480000	1482000	and then you just push it
1482000	1484000	until that one
1484000	1486000	eigenvalue cancels
1486000	1488000	the smallest eigenvalue
1488000	1490000	of the B for example
1490000	1492000	you just in the column
1492000	1494000	here for example
1494000	1496000	if you already rank
1496000	1498000	deficient then it's fine
1498000	1500000	if not in the strict interior
1500000	1502000	then you can push it in direction
1502000	1504000	and this leaves you in a
1504000	1506000	column at least for small t
1506000	1508000	and you will reach the boundary
1508000	1510000	but it doesn't matter with which matrix
1510000	1512000	you add because in order to
1512000	1514000	say
1514000	1516000	sufficiently small t in the column
1516000	1518000	then it's already fine
1518000	1520000	then you walk to another phase
1522000	1524000	no that's not possible
1524000	1526000	because the phase is defined
1526000	1528000	by the AIs or the
1528000	1530000	the intersection of the phase
1530000	1532000	of the affine subspace
1534000	1536000	oh
1536000	1538000	yes
1538000	1540000	still
1540000	1542000	like B can have mixed eigenvalues
1542000	1544000	which are both positive and negative
1544000	1546000	we first of all cannot choose that because
1546000	1548000	the kernel can be one-dimensional
1548000	1550000	and we're just fixed with this kind of distribution of signs
1552000	1554000	then flip all signs
1554000	1556000	well we can flip all of them but it's some of them are positive
1556000	1558000	some are negative
1558000	1560000	but this
1560000	1562000	but there are one
1562000	1564000	let's say the positive signs
1564000	1566000	the positive signs
1566000	1568000	they do not work because they just make
1568000	1570000	B more positive
1570000	1572000	then it's already
1572000	1574000	possible
1574000	1576000	you don't take the most negative sign
1576000	1578000	yes
1578000	1580000	you just walk gradually t up until
1580000	1582000	it hits the first zero crossing
1584000	1586000	imagine like you perturb B by D
1586000	1588000	and for very small t
1588000	1590000	sure
1590000	1592000	values hardly change
1592000	1594000	so you can now make a plot
1594000	1596000	where you plot the curves of eigenvalues
1596000	1598000	and then you increase t this will give continuous functions
1600000	1602000	and at some point the lowest one will cross zero
1602000	1604000	and then you stop
1604000	1606000	and then you still have a positive operate
1606000	1608000	okay
1608000	1610000	but I would want that to
1610000	1612000	but
1612000	1614000	optimization
1614000	1616000	I mean here it's just inverse function theorem
1616000	1618000	I think
1618000	1620000	okay
1620000	1622000	what's your favorite proof of the inverse function theorem
1624000	1626000	non-trivial
1626000	1628000	non-trivial
1634000	1636000	so we have
1636000	1638000	let's say with a feasible
1638000	1640000	X
1640000	1642000	right this is your
1642000	1644000	this is your assumption
1644000	1646000	and it's offering
1646000	1648000	R
1648000	1650000	and now
1650000	1652000	that's an assumption
1652000	1654000	no because that just means
1654000	1656000	you have given the name to the rank of X
1656000	1658000	you just named the rank
1658000	1660000	you would find R to be the rank
1660000	1662000	okay
1662000	1664000	okay
1664000	1666000	I have my problem I take one thing to the point
1666000	1668000	which says rank R
1668000	1670000	now I write my
1670000	1672000	rank R thingy as well
1672000	1674000	something from the other dimension of space
1674000	1676000	transformation
1676000	1678000	now I can write
1678000	1680000	the whole thing
1682000	1684000	now I can take the
1684000	1686000	transformation and write this whole
1686000	1688000	thing
1688000	1690000	as optimization in the subspace
1690000	1692000	R
1692000	1694000	and B is basically
1694000	1696000	you give me some C
1696000	1698000	so I have a smaller space
1700000	1702000	okay so far so good
1702000	1704000	now next step why do I define this
1704000	1706000	by
1706000	1708000	some story
1708000	1710000	I can define
1710000	1712000	maybe you don't need it but for me it was
1712000	1714000	very
1714000	1716000	intuitive to then work with the rank
1716000	1718000	now to theorem because it's just simple
1718000	1720000	so now I am in the
1720000	1722000	okay I have to take the
1722000	1724000	subspace
1724000	1726000	I could optimize it in the subspace
1728000	1730000	what do I learn but I also
1730000	1732000	have to optimize over all B
1734000	1736000	now you start with something
1736000	1738000	you start with some feasible point
1738000	1740000	you go to the sort of compressed
1740000	1742000	STP
1742000	1744000	you look at the feasible subspace
1744000	1746000	and D at the orthogonal
1746000	1748000	subspace to the feasible subspace
1748000	1750000	which is the kernel
1750000	1752000	of this file
1752000	1754000	and now you say you can always
1754000	1756000	walk in this direction to reduce the rank
1756000	1758000	by one
1758000	1760000	to the point
1760000	1762000	you start with the feasible point
1762000	1764000	then if this condition there holds
1764000	1766000	then you can find a perturbation
1766000	1768000	which reduces the rank
1768000	1770000	now you have a new feasible point
1770000	1772000	and you can redo the whole program
1772000	1774000	this was
1774000	1776000	like a while loop
1776000	1778000	so yeah
1778000	1780000	and this is awesome in this introduction
1780000	1782000	and this is also what I wanted to do
1782000	1784000	because I think this proof is
